id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta_minutes
611839,41.93537,-87.67945999999998,1,1.0,42.0,2,60,0,160,33,28.0,17.0,7.0,0.0,1.0,19.9
628149,41.89056,-87.66086,2,2.0,63.0,1,125,30,96,19,113.0,32.0,17.0,0.0,3.0,13.06
634310,41.99667,-87.66213,2,1.0,65.0,2,1125,30,81,1,28.0,12.0,18.0,0.0,3.0,6.88
640841,41.94242,-87.67134,4,2.5,200.0,3,14,30,46,25,49.0,27.0,13.0,0.0,3.0,2.38
642053,41.90567,-87.67311,4,1.0,81.0,2,365,30,11,3,119.0,33.0,36.0,0.0,2.0,7.64
642065,41.90686,-87.67319,4,1.0,113.0,2,365,30,39,8,123.0,36.0,35.0,0.0,2.0,5.54
651742,41.99244,-87.75569,2,1.0,75.0,2,180,21,66,15,5.0,1.0,3.0,0.0,0.0,40.87
662034,41.99201,-87.75719000000002,2,1.0,65.0,2,180,29,66,15,6.0,1.0,3.0,0.0,0.0,43.05
681842,41.99348,-87.68121,1,1.0,50.0,3,10,28,26,5,22.0,5.0,3.0,0.0,0.0,26.89
697634,41.90302,-87.63499,4,1.0,99.0,31,1125,0,150,3,149.0,45.0,46.0,2.0,3.0,4.96
699284,41.92929,-87.64895,12,3.0,800.0,3,365,28,44,1,104.0,56.0,35.0,2.0,3.0,9.1
724895,41.88999,-87.66096,2,2.0,44.0,1,30,30,130,20,110.0,31.0,18.0,0.0,3.0,11.89
726376,41.93932,-87.65218,2,1.0,85.0,7,65,28,623,60,135.0,82.0,37.0,0.0,5.0,1.82
727847,41.92255,-87.70293000000002,2,1.0,60.0,2,365,30,73,8,85.0,36.0,21.0,0.0,2.0,5.94
731232,41.92669,-87.699,5,1.0,90.0,2,365,27,134,18,94.0,41.0,21.0,0.0,2.0,7.41
739495,41.97847,-87.68087,4,1.0,75.0,4,30,29,186,24,18.0,7.0,10.0,0.0,0.0,20.14
753809,41.88624,-87.61565999999998,3,1.0,94.0,31,1122,30,13,0,133.0,42.0,72.0,2.0,4.0,14.53
755701,41.92997,-87.72061,5,1.0,135.0,5,1125,0,19,0,39.0,15.0,6.0,0.0,2.0,15.21
764856,41.88676,-87.64935,2,1.0,159.0,2,120,29,235,60,187.0,49.0,42.0,0.0,3.0,3.91
773127,41.94994000000001,-87.682,2,2.0,84.0,2,14,0,128,0,26.0,26.0,13.0,1.0,3.0,10.57
789429,41.96193,-87.66238,2,1.0,99.0,365,365,30,0,0,25.0,21.0,13.0,0.0,3.0,7.91
789867,41.96437,-87.67398,3,1.0,20.0,2,22,30,220,40,46.0,19.0,13.0,0.0,2.0,4.83
790016,41.96046,-87.66346,5,2.0,299.0,365,365,30,16,0,30.0,22.0,16.0,0.0,5.0,16.31
790934,42.01653,-87.68788,2,2.0,70.0,1,3,30,139,5,10.0,7.0,1.0,0.0,0.0,22.14
802613,41.92285,-87.68323000000002,4,2.0,175.0,1,1125,29,57,1,45.0,26.0,13.0,0.0,1.0,14.31
810974,42.00184,-87.66951,2,1.0,50.0,2,30,30,114,23,39.0,16.0,15.0,0.0,3.0,8.6
818109,41.89513,-87.67399999999998,3,1.0,80.0,7,160,30,18,10,92.0,34.0,27.0,0.0,1.0,17.87
824518,41.90213,-87.67598000000002,4,1.0,95.0,28,365,0,87,0,145.0,47.0,38.0,0.0,2.0,12.21
834943,41.96238,-87.68378,4,1.0,90.0,2,1125,20,54,28,53.0,26.0,24.0,0.0,5.0,10.19
841024,41.9443,-87.64661,6,2.0,239.0,32,1125,30,15,0,94.0,64.0,25.0,0.0,3.0,13.55
863120,41.9217,-87.65959000000002,2,2.5,85.0,2,1125,29,98,23,80.0,34.0,19.0,2.0,2.0,11.47
872247,41.85939000000001,-87.65271,3,1.0,125.0,7,1125,29,163,7,35.0,11.0,10.0,0.0,0.0,19.11
873628,41.89397,-87.64975,2,2.0,150.0,3,180,23,88,7,84.0,25.0,15.0,0.0,4.0,5.64
887038,41.9263,-87.65567,4,1.0,150.0,32,300,30,36,0,104.0,57.0,26.0,2.0,3.0,4.82
903996,41.92649,-87.7138,2,1.0,110.0,2,1125,3,145,18,65.0,24.0,13.0,0.0,1.0,10.2
909096,41.91105,-87.70926999999998,11,2.5,400.0,1,1125,23,200,9,29.0,8.0,3.0,0.0,0.0,26.4
926142,41.99986,-87.67155,6,1.0,180.0,1,1125,30,5,2,26.0,16.0,14.0,0.0,2.0,11.81
929914,41.91316,-87.63813,2,1.0,115.0,2,21,28,304,39,83.0,35.0,18.0,0.0,2.0,3.91
931105,41.88449,-87.69659,2,1.5,75.0,3,1125,27,23,0,5.0,1.0,2.0,0.0,3.0,2.97
949514,41.90677,-87.66788000000003,2,1.0,50.0,3,60,0,133,18,113.0,34.0,30.0,0.0,2.0,6.28
960326,41.89505,-87.65449,8,2.0,302.0,1,1125,30,265,50,68.0,22.0,12.0,0.0,2.0,2.28
966137,41.86755,-87.6788,6,1.0,269.0,2,1125,30,40,0,4.0,2.0,4.0,1.0,3.0,13.95
979841,42.00498,-87.66712,2,1.5,69.0,2,90,30,209,33,33.0,12.0,15.0,0.0,2.0,8.13
979926,42.00623,-87.66794,2,1.5,59.0,2,90,30,240,27,33.0,13.0,15.0,0.0,2.0,6.66
979942,42.00426,-87.66693000000002,2,1.5,59.0,2,90,30,233,31,33.0,12.0,15.0,0.0,2.0,7.46
983640,42.00381,-87.67081999999998,4,1.0,159.0,2,90,29,176,30,34.0,12.0,14.0,0.0,2.0,10.55
1020810,41.8943,-87.62609,2,1.0,100.0,30,365,30,30,5,318.0,103.0,114.0,5.0,6.0,5.17
1027405,41.85432,-87.70769,4,1.0,45.0,2,1125,28,6,0,2.0,0.0,2.0,0.0,2.0,3.46
1027463,41.85423,-87.70784,4,2.0,45.0,2,1125,29,10,4,2.0,0.0,2.0,0.0,2.0,3.35
1027741,41.85455,-87.70768000000002,4,1.5,45.0,2,1125,28,19,17,2.0,0.0,2.0,0.0,2.0,3.77
1032943,41.81996,-87.59978000000002,10,2.5,240.0,2,30,2,199,25,0.0,1.0,0.0,0.0,0.0,24.35
1056430,41.94376,-87.65164,2,1.0,79.0,2,30,23,320,31,109.0,74.0,27.0,0.0,4.0,8.13
1080532,41.93396,-87.64108,4,2.5,114.0,6,1125,0,29,7,95.0,38.0,29.0,0.0,2.0,17.96
1083987,41.85278,-87.62453000000002,3,1.0,85.0,30,1123,30,21,1,36.0,13.0,12.0,0.0,2.0,1.83
1096191,41.97271,-87.65236,2,1.0,55.0,30,400,0,45,6,41.0,10.0,11.0,0.0,4.0,7.19
1101458,41.88655,-87.77086,6,1.0,55.0,1,1125,29,197,24,1.0,2.0,0.0,0.0,2.0,4.2
1113259,42.01761,-87.67987,2,1.0,55.0,1,1125,29,132,43,18.0,8.0,2.0,0.0,2.0,9.26
1127661,41.91791,-87.70933000000002,2,1.0,59.0,2,45,26,238,41,58.0,27.0,10.0,0.0,0.0,17.52
1129741,41.88282,-87.72026,2,2.0,80.0,7,1125,0,0,0,1.0,1.0,0.0,0.0,3.0,6.96
1171860,41.92628,-87.64026,2,1.0,50.0,7,65,22,532,58,88.0,42.0,26.0,1.0,0.0,19.34
1183249,41.9395,-87.64483,2,1.0,79.0,7,65,22,500,58,111.0,65.0,27.0,0.0,4.0,8.81
1185749,41.87086,-87.68305,6,1.0,99.0,3,90,30,314,39,5.0,2.0,2.0,1.0,2.0,12.57
