id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm
789429,3,41.96193,-87.66238,2,1.0,99.0,100.0,40.0,20.0,365,365,365,365,30,365,0,0
789867,1,41.96437,-87.67398,3,1.0,20.0,0.0,10.0,10.0,2,22,2,1125,30,90,220,40
790016,3,41.96046,-87.66346,5,2.0,299.0,200.0,60.0,30.0,365,365,365,365,30,365,16,0
790934,16,42.01653,-87.68788,2,2.0,70.0,100.0,12.0,10.0,1,3,1,3,30,180,139,5
802613,2,41.92285,-87.68323000000002,4,2.0,175.0,300.0,100.0,25.0,1,1125,1,1125,29,364,57,1
810974,1,42.00184,-87.66951,2,1.0,50.0,0.0,20.0,20.0,2,30,2,30,30,365,114,23
818109,5,41.89513,-87.67399999999998,3,1.0,80.0,0.0,45.0,10.0,7,160,30,160,30,118,18,10
824518,1,41.90213,-87.67598000000002,4,1.0,95.0,1000.0,125.0,10.0,28,365,28,365,0,112,87,0
834943,1,41.96238,-87.68378,4,1.0,90.0,100.0,50.0,20.0,2,1125,2,1125,20,276,54,28
841024,3,41.9443,-87.64661,6,2.0,239.0,0.0,100.0,100.0,32,1125,32,1125,30,365,15,0
863120,1,41.9217,-87.65959000000002,2,2.5,85.0,0.0,50.0,10.0,2,1125,2,1125,29,261,98,23
872247,2,41.85939000000001,-87.65271,3,1.0,125.0,500.0,0.0,0.0,7,1125,7,1125,29,114,163,7
873628,1,41.89397,-87.64975,2,2.0,150.0,0.0,0.0,0.0,3,180,3,180,23,173,88,7
887038,8,41.9263,-87.65567,4,1.0,150.0,200.0,200.0,8.0,32,300,32,300,30,365,36,0
903996,1,41.92649,-87.7138,2,1.0,110.0,0.0,20.0,0.0,2,1125,2,1125,3,263,145,18
909096,14,41.91105,-87.70926999999998,11,2.5,400.0,0.0,200.0,25.0,1,1125,2,1125,23,346,200,9
926142,5,41.99986,-87.67155,6,1.0,180.0,0.0,0.0,0.0,1,1125,200,1125,30,69,5,2
929914,1,41.91316,-87.63813,2,1.0,115.0,100.0,0.0,10.0,2,21,3,21,28,295,304,39
931105,1,41.88449,-87.69659,2,1.5,75.0,0.0,0.0,20.0,3,1125,3,1125,27,362,23,0
949514,1,41.90677,-87.66788000000003,2,1.0,50.0,0.0,0.0,10.0,3,60,3,60,0,0,133,18
960326,22,41.89505,-87.65449,8,2.0,302.0,998.0,150.0,60.0,1,1125,5,1125,30,351,265,50
