id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm
2510602,41.89076,-87.62276999999996,4,2.0,225.0,31,1125,30,4,0
2512247,41.90143,-87.63273000000002,2,1.0,75.0,7,60,1,4,1
2515100,41.89907,-87.68085,2,1.0,55.0,2,8,0,192,14
2515629,41.88342,-87.69618,2,1.0,30.0,2,60,7,128,20
2519442,41.79599,-87.62355,2,1.5,80.0,2,30,29,82,13
2543231,41.8579,-87.65104000000002,2,1.0,68.0,2,1125,26,220,30
2552219,41.95163,-87.71651,9,3.0,200.0,2,1125,5,3,3
2564678,41.85448,-87.70787,1,1.5,45.0,2,1125,29,6,3
2570620,41.89826,-87.70336,2,1.0,45.0,1,1125,28,535,84
2583929,41.8537,-87.62338000000004,3,1.0,129.0,60,1122,30,16,0
2585378,41.90772,-87.68121,1,1.0,80.0,7,100,5,20,2
2604345,41.80458,-87.60508,2,1.0,27.0,1,1125,30,25,5
2604454,41.78977,-87.58915999999998,6,1.5,165.0,1,14,0,104,20
2612989,41.96089,-87.67981,4,1.0,150.0,2,40,30,23,0
2614364,41.94467,-87.65856,10,1.0,500.0,2,1125,29,63,2
2619937,41.98681,-87.69806,5,2.0,130.0,1,31,12,7,0
2658946,41.91755,-87.63592,8,2.0,95.0,1,120,22,459,84
2659670,41.96821,-87.65626,16,2.5,700.0,1,1125,30,123,22
2661465,41.88618,-87.61888,2,1.0,150.0,31,365,30,25,0
2671680,41.98705,-87.66228000000002,2,1.5,85.0,3,30,30,82,12
2679456,41.85211,-87.6216,4,2.0,200.0,90,368,30,6,0
2688739,41.86759,-87.68204,2,1.0,87.0,1,1125,30,31,0
2693387,41.91432,-87.6737,10,2.0,99.0,1,29,7,96,31
2695259,41.93227,-87.64879,4,1.0,159.0,1,1125,29,105,51
2715815,41.85445,-87.62432,4,1.0,130.0,31,1125,0,14,0
2730613,41.68612,-87.67735,4,1.0,79.0,2,1000,30,133,10
2731202,41.68582,-87.68066999999998,4,1.0,76.0,2,1125,22,139,25
2764548,42.00598,-87.67211,2,1.0,78.0,2,1125,21,146,19
2782345,41.92985,-87.64353,2,1.0,124.0,3,1125,30,74,12
2817608,41.94278,-87.67220999999998,4,2.0,289.0,3,1125,30,13,1
