id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta_minutes
1296053,4,41.82147,-87.60086,2,1.0,75.0,200.0,40.0,10.0,1,1125,1,1125,29,87,27,0,0.0,1.0,1.0,0.0,0,64.14
1296218,4,41.82184,-87.60129,2,1.0,75.0,200.0,40.0,10.0,1,15,1,15,29,87,23,1,0.0,1.0,2.0,0.0,0,63.51
1304049,1,41.8719,-87.68486,2,1.0,100.0,0.0,25.0,25.0,1,1125,1,1125,30,365,103,7,7.0,1.0,2.0,0.0,2,8.07
1321332,1,41.92913,-87.66920999999998,16,3.5,395.0,800.0,190.0,35.0,2,60,4,1125,27,341,74,11,37.0,27.0,15.0,0.0,0,69.11
1325769,1,41.91355,-87.63675,1,1.0,198.0,200.0,80.0,50.0,1,30,1,30,29,89,23,2,75.0,28.0,15.0,0.0,1,6.13
1333431,4,41.82179,-87.59985999999998,6,1.0,200.0,400.0,75.0,50.0,1,15,1,15,30,348,6,0,0.0,1.0,0.0,0.0,0,64.82
1356190,1,41.92083,-87.68896,2,1.0,90.0,0.0,0.0,25.0,1,1125,1,1125,29,323,304,92,74.0,33.0,20.0,0.0,2,7.6
1361421,5,41.9459,-87.65460999999998,2,11.0,80.0,0.0,0.0,0.0,1,14,1,14,22,357,28,10,101.0,72.0,29.0,0.0,4,3.92
1369384,1,41.95564,-87.71154,2,1.0,60.0,0.0,5.0,15.0,2,7,2,7,0,140,125,0,15.0,15.0,5.0,0.0,1,20.0
1392594,1,41.96952,-87.67239000000002,8,2.0,168.0,0.0,75.0,25.0,3,28,3,28,4,195,24,3,48.0,19.0,13.0,0.0,2,10.43
1427950,1,41.98496,-87.66806,2,1.0,120.0,500.0,50.0,0.0,3,31,3,31,0,0,79,13,30.0,15.0,17.0,0.0,4,11.01
1428589,4,41.82781,-87.60523,3,1.5,50.0,200.0,25.0,25.0,1,1125,1,1125,24,350,273,17,0.0,0.0,0.0,0.0,0,74.58
1434078,4,41.92989,-87.64103,6,1.5,380.0,150.0,50.0,35.0,12,1125,12,1125,27,362,14,1,81.0,40.0,28.0,1.0,2,17.2
1461451,16,42.016529999999996,-87.68788,1,2.0,25.0,100.0,12.0,0.0,1,1125,1,1125,30,180,151,14,10.0,7.0,1.0,0.0,0,25.86
1468342,1,41.81266,-87.61586,2,1.0,65.0,150.0,30.0,20.0,2,7,2,7,29,360,123,18,1.0,2.0,4.0,0.0,2,8.18
1475647,16,42.016529999999996,-87.68788,1,2.0,25.0,100.0,12.0,0.0,1,1125,1,1125,7,157,97,16,10.0,7.0,1.0,0.0,0,25.86
1502674,10,41.91307000000001,-87.64012,5,1.0,158.0,0.0,125.0,25.0,4,180,4,180,23,335,36,17,85.0,39.0,20.0,0.0,2,4.64
1502700,10,41.91406,-87.63934,10,2.0,425.0,0.0,195.0,25.0,4,120,4,120,21,319,16,3,86.0,32.0,15.0,0.0,2,5.42
1541692,1,41.82936,-87.6048,2,1.0,55.0,0.0,60.0,25.0,3,7,3,7,22,353,94,17,,,,,0,71.38
1554433,1,41.71348,-87.67195,2,1.5,90.0,0.0,0.0,0.0,2,1125,2,1125,27,362,162,21,1.0,1.0,2.0,0.0,0,60.76
1573401,4,41.85763,-87.66235999999998,4,1.0,65.0,0.0,35.0,10.0,2,14,2,14,0,194,187,61,24.0,7.0,12.0,0.0,1,9.69
1584422,7,41.90607,-87.6488,10,3.0,344.0,0.0,125.0,25.0,3,21,3,21,0,0,26,3,40.0,11.0,9.0,0.0,2,6.63
1584509,2,41.90697,-87.62941,11,5.0,475.0,3000.0,300.0,150.0,2,1125,2,1125,25,307,53,8,86.0,36.0,34.0,0.0,2,5.93
1587078,5,41.91638,-87.68422,4,1.0,149.0,1000.0,50.0,40.0,2,1125,2,1125,29,336,293,34,100.0,36.0,22.0,0.0,2,6.31
1591370,1,42.01114000000001,-87.67634,6,1.0,90.0,500.0,50.0,20.0,2,29,2,29,30,359,93,25,24.0,10.0,5.0,0.0,3,13.48
1614802,1,41.93455,-87.66141,3,1.0,60.0,0.0,0.0,10.0,4,90,4,90,28,293,271,43,74.0,51.0,24.0,0.0,3,10.66
1623463,1,41.858999999999995,-87.6462,6,1.0,135.0,250.0,50.0,25.0,2,31,3,31,29,89,40,11,34.0,9.0,8.0,0.0,0,37.87
1641601,1,41.97282,-87.67257,2,1.0,69.0,150.0,25.0,10.0,2,120,2,120,30,348,275,35,34.0,16.0,14.0,0.0,1,14.83
1648786,1,41.728359999999995,-87.6136,4,1.0,32.0,0.0,0.0,10.0,2,30,2,30,22,348,84,19,0.0,2.0,0.0,0.0,2,19.66
1656336,2,41.82516,-87.67456,4,1.0,95.0,200.0,50.0,15.0,1,30,1,30,16,339,269,33,4.0,0.0,1.0,0.0,1,11.68
